City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
282,Henties Bay,NA,-22.12,14.28,57.0,88,0,4.0,clear sky,0.0,0
283,Maragogi,BR,-9.01,-35.22,78.91,71,3,14.16,light rain,0.13,0
284,Honiara,SB,-9.43,159.95,75.2,94,40,3.36,scattered clouds,0.0,0
285,Jhajjar,IN,28.61,76.66,93.2,62,40,6.93,haze,0.0,0
286,Kitimat,CA,54.05,-128.65,50.0,93,75,8.05,light rain,0.0,0
287,Adrar,MR,20.5,-10.07,101.48,23,23,4.18,few clouds,0.0,0
288,Chegutu,ZW,-18.13,30.14,74.88,20,0,10.27,clear sky,0.0,0
289,Brus Laguna,HN,15.75,-84.48,82.06,80,100,1.41,overcast clouds,0.0,0
290,Jiuquan,CN,39.74,98.52,79.68,20,89,8.1,overcast clouds,0.0,0
291,Rio Gallegos,AR,-51.62,-69.22,23.0,92,0,9.17,clear sky,0.0,0
292,Kichera,RU,55.94,110.1,65.7,73,34,1.23,scattered clouds,0.0,0
293,Sayyan,YE,15.17,44.32,78.1,24,97,1.36,overcast clouds,0.0,0
294,Brae,GB,60.4,-1.35,53.6,93,75,12.75,broken clouds,0.0,0
295,Yulara,AU,-25.24,130.99,48.2,63,0,8.05,clear sky,0.0,0
296,Chipinge,ZW,-20.19,32.62,62.53,38,0,7.99,clear sky,0.0,0
297,Hvide Sande,DK,56.0,8.13,64.0,77,75,18.34,broken clouds,0.0,0
298,Biysk,RU,52.54,85.21,65.82,75,5,1.81,clear sky,0.0,0
299,Raga,SS,8.46,25.68,83.77,65,99,3.8,overcast clouds,0.0,0
300,Petaling Jaya,MY,3.11,101.61,84.2,74,20,4.7,few clouds,0.0,0
301,Kampot,KH,10.62,104.18,80.6,83,75,4.7,broken clouds,0.0,0
302,Makakilo City,US,21.35,-158.09,78.8,73,1,3.36,clear sky,0.0,0
303,Cidreira,BR,-30.18,-50.21,61.83,93,77,8.93,light rain,0.14,0
304,Villazon,BO,-22.09,-65.59,45.63,36,0,9.15,clear sky,0.0,0
305,Anahuac,MX,27.23,-100.15,78.8,88,5,11.41,clear sky,0.0,0
306,Walvis Bay,NA,-22.96,14.51,69.8,49,0,12.75,clear sky,0.0,0
307,Palu,ID,-0.89,119.87,76.3,83,100,1.57,moderate rain,1.08,0
308,Wagar,SD,16.15,36.2,105.57,18,1,14.47,clear sky,0.0,0
309,Moree,AU,-29.47,149.85,46.4,87,0,2.24,clear sky,0.0,0
